long_name,age_15,overall_15,age_16,overall_16,age_17,overall_17,age_18,overall_18,age_19,overall_19,age_20,overall_20,current_player_name,player_position,current_club,age_21,overall_21,overall_average,overall_21_predicted,age_22,age_23,age_24,overall_22_predicted,overall_23_predicted,overall_24_predicted
Hannes Van Der Bruggen,21.0,67.0,22.0,70.0,23.0,70.0,24.0,71.0,25.0,71.0,26.0,72.0,H. Van Der Bruggen,Midfielder,KV Kortrijk,27.0,72.0,72.0,72.03,28.0,29.0,30.0,71.97,71.97,72.01
김진현 金镇铉,26.0,67.0,,,,,29.0,71.0,30.0,69.0,31.0,68.0,Kim Jin Hyeon,Goalkeeper,Cerezo Osaka,32.0,73.0,70.5,70.36,33.0,34.0,35.0,70.11,69.92,69.77
Terrence Boyd,23.0,67.0,24.0,67.0,25.0,67.0,26.0,67.0,27.0,67.0,28.0,64.0,T. Boyd,Forward,Hallescher FC,29.0,66.0,65.0,65.0,30.0,31.0,32.0,64.82,64.7,64.62
Roberto Torres Morales,25.0,67.0,26.0,68.0,27.0,76.0,28.0,76.0,29.0,73.0,30.0,73.0,Roberto Torres,Midfielder,CA Osasuna,31.0,77.0,75.0,74.85,32.0,33.0,34.0,74.64,74.49,74.38
Mansour Althaqfi Al Harbi,26.0,67.0,27.0,67.0,28.0,66.0,29.0,66.0,30.0,68.0,31.0,67.0,M. Al Harbi,Defender,Al Ittihad,32.0,67.0,67.0,66.91,33.0,34.0,35.0,66.67,66.49,66.35
Garry Mendes Rodrigues,23.0,67.0,24.0,71.0,25.0,75.0,26.0,75.0,27.0,78.0,28.0,76.0,Garry Rodrigues,Midfielder,Fenerbahçe SK,29.0,76.0,76.0,75.93,30.0,31.0,32.0,75.8,75.73,75.7
Frank Yusty Fabra Palacios,23.0,67.0,24.0,70.0,25.0,75.0,26.0,76.0,27.0,77.0,28.0,78.0,F. Fabra,Defender,Boca Juniors,29.0,79.0,78.5,78.4,30.0,31.0,32.0,78.28,78.22,78.2
Fredy Hinestroza Arias,24.0,67.0,25.0,71.0,26.0,73.0,27.0,73.0,28.0,72.0,29.0,73.0,F. Hinestroza,Midfielder,Junior FC,30.0,72.0,72.5,72.41,31.0,32.0,33.0,72.23,72.11,72.03
Leandro Luis Desábato,24.0,67.0,25.0,70.0,26.0,71.0,27.0,70.0,,,29.0,70.0,L. Desábato,Midfielder,Cerezo Osaka,30.0,71.0,70.5,70.43,31.0,32.0,33.0,70.24,70.11,70.02
Strahil Venkov Popov,23.0,67.0,,,25.0,70.0,26.0,70.0,27.0,70.0,28.0,70.0,S. Popov,Defender,Hatayspor,29.0,67.0,68.5,68.47,30.0,31.0,32.0,68.31,68.21,68.15
André Luís Gomes Simões,24.0,67.0,,,,,27.0,75.0,28.0,76.0,29.0,75.0,André Simões,Midfielder,AEK Athens,30.0,74.0,74.5,74.39,31.0,32.0,33.0,74.22,74.11,74.04
Jakub Rzeźniczak,27.0,67.0,28.0,70.0,29.0,68.0,,,,,32.0,69.0,J. Rzeźniczak,Defender,Wisła Płock,33.0,65.0,67.0,66.89,34.0,35.0,36.0,66.63,66.43,66.27
Antonino Barillà,26.0,67.0,27.0,66.0,28.0,67.0,29.0,67.0,30.0,67.0,31.0,71.0,A. Barillà,Midfielder,AC Monza,32.0,71.0,71.0,70.86,33.0,34.0,35.0,70.61,70.42,70.27
Dax McCarty,27.0,67.0,28.0,72.0,29.0,74.0,30.0,74.0,31.0,74.0,32.0,73.0,D. McCarty,Midfielder,Nashville SC,33.0,72.0,72.5,72.31,34.0,35.0,36.0,72.03,71.81,71.63
최철순 崔喆淳,27.0,67.0,28.0,71.0,29.0,69.0,30.0,71.0,31.0,72.0,32.0,72.0,Choi Chul Soon,Defender,Jeonbuk Hyundai Motors,33.0,70.0,71.0,70.83,34.0,35.0,36.0,70.55,70.33,70.15
Alexander Grünwald,25.0,67.0,26.0,68.0,27.0,70.0,28.0,72.0,29.0,73.0,30.0,73.0,A. Grünwald,Midfielder,FK Austria Wien,31.0,70.0,71.5,71.38,32.0,33.0,34.0,71.16,71.0,70.88
Nathan Delfouneso,23.0,67.0,24.0,68.0,25.0,66.0,26.0,63.0,27.0,63.0,28.0,63.0,N. Delfouneso,Forward,Bolton Wanderers,29.0,63.0,63.0,63.01,30.0,31.0,32.0,62.83,62.7,62.61
Eloy Victor Room,25.0,67.0,26.0,73.0,27.0,75.0,28.0,74.0,29.0,74.0,30.0,74.0,E. Room,Goalkeeper,Columbus Crew SC,31.0,75.0,74.5,74.35,32.0,33.0,34.0,74.14,73.99,73.88
Daniel Castellano Betancor,26.0,67.0,27.0,69.0,28.0,74.0,29.0,75.0,30.0,72.0,31.0,68.0,Dani Castellano,Defender,UD Las Palmas,32.0,69.0,68.5,68.39,33.0,34.0,35.0,68.15,67.97,67.83
Eugenio Lamanna,24.0,67.0,25.0,71.0,26.0,72.0,27.0,72.0,28.0,72.0,29.0,71.0,E. Lamanna,Goalkeeper,AC Monza,30.0,71.0,71.0,70.92,31.0,32.0,33.0,70.74,70.62,70.54
Jagoš Vuković,26.0,67.0,27.0,73.0,28.0,76.0,29.0,76.0,30.0,75.0,31.0,73.0,J. Vuković,Defender,Qingdao Huanghai F.C.,32.0,72.0,72.5,72.34,33.0,34.0,35.0,72.09,71.9,71.75
Christopher Schindler,24.0,67.0,25.0,70.0,26.0,71.0,27.0,73.0,28.0,78.0,29.0,76.0,C. Schindler,Defender,Huddersfield Town,30.0,73.0,74.5,74.39,31.0,32.0,33.0,74.22,74.11,74.04
Robert Žulj,22.0,67.0,23.0,68.0,24.0,71.0,25.0,72.0,26.0,72.0,27.0,72.0,R. Žulj,Midfielder,VfL Bochum 1848,28.0,71.0,71.5,71.49,29.0,30.0,31.0,71.38,71.33,71.32
Gaëtan Courtet,25.0,67.0,26.0,69.0,27.0,71.0,28.0,71.0,29.0,69.0,30.0,68.0,G. Courtet,Forward,AC Ajaccio,31.0,70.0,69.0,68.91,32.0,33.0,34.0,68.69,68.53,68.41
Edin Višća,24.0,67.0,25.0,73.0,26.0,79.0,27.0,79.0,28.0,82.0,29.0,84.0,E. Višća,Midfielder,Medipol Başakşehir FK,30.0,83.0,83.5,83.29,31.0,32.0,33.0,83.12,83.01,82.94
Manuel Pucciarelli,23.0,67.0,24.0,73.0,25.0,75.0,26.0,73.0,27.0,74.0,28.0,72.0,M. Pucciarelli,Midfielder,Chievo Verona,29.0,70.0,71.0,70.96,30.0,31.0,32.0,70.81,70.72,70.67
Thomas Teye Partey,21.0,67.0,22.0,71.0,23.0,75.0,24.0,77.0,25.0,82.0,26.0,82.0,T. Partey,Midfielder,Atlético Madrid,27.0,84.0,83.0,82.96,28.0,29.0,30.0,82.95,83.0,83.09
김승대 金承大,23.0,67.0,24.0,70.0,,,26.0,69.0,27.0,70.0,28.0,73.0,Kim Seung Dae,Forward,Gangwon FC,29.0,71.0,72.0,71.95,30.0,31.0,32.0,71.81,71.73,71.69
Berkay Tolga Dabanlı,24.0,67.0,25.0,68.0,,,27.0,66.0,,,29.0,64.0,B. Dabanlı,Defender,SCR Altach,30.0,64.0,64.0,63.99,31.0,32.0,33.0,63.79,63.65,63.55
Felix Bastians,26.0,67.0,27.0,71.0,28.0,74.0,29.0,74.0,30.0,74.0,31.0,74.0,F. Bastians,Defender,Tianjin TEDA FC,32.0,74.0,74.0,73.82,33.0,34.0,35.0,73.57,73.38,73.23
Uğur Demirok,25.0,67.0,26.0,71.0,27.0,74.0,28.0,74.0,29.0,73.0,30.0,72.0,U. Demirok,Defender,Atiker Konyaspor,31.0,69.0,70.5,70.4,32.0,33.0,34.0,70.18,70.02,69.9
Craig Cathcart,25.0,67.0,26.0,71.0,27.0,73.0,28.0,73.0,29.0,73.0,30.0,76.0,C. Cathcart,Defender,Watford,31.0,74.0,75.0,74.85,32.0,33.0,34.0,74.64,74.49,74.38
Mitchell Glenn Donald,25.0,67.0,,,,,,,29.0,70.0,30.0,73.0,M. Donald,Midfielder,BB Erzurumspor,31.0,71.0,72.0,71.88,32.0,33.0,34.0,71.66,71.5,71.38
Marco Schönbächler,24.0,67.0,25.0,71.0,,,27.0,70.0,28.0,69.0,29.0,68.0,M. Schönbächler,Midfielder,FC Zürich,30.0,69.0,68.5,68.44,31.0,32.0,33.0,68.25,68.12,68.03
Oswaldo Alanís Pantoja,25.0,67.0,26.0,71.0,27.0,70.0,28.0,71.0,29.0,70.0,30.0,71.0,O. Alanís,Defender,San Jose Earthquakes,31.0,70.0,70.5,70.4,32.0,33.0,34.0,70.18,70.02,69.9
Ondřej Čelůstka,25.0,67.0,26.0,67.0,27.0,71.0,28.0,72.0,29.0,67.0,30.0,71.0,O. Čelůstka,Defender,Sparta Praha,31.0,72.0,71.5,71.38,32.0,33.0,34.0,71.16,71.0,70.88
Daniel Brosinski,25.0,67.0,26.0,74.0,27.0,75.0,28.0,76.0,29.0,76.0,30.0,75.0,D. Brosinski,Defender,1. FSV Mainz 05,31.0,75.0,75.0,74.85,32.0,33.0,34.0,74.64,74.49,74.38
Florian Jungwirth,25.0,67.0,26.0,69.0,27.0,71.0,28.0,72.0,29.0,70.0,30.0,72.0,F. Jungwirth,Defender,San Jose Earthquakes,31.0,71.0,71.5,71.38,32.0,33.0,34.0,71.16,71.0,70.88
Junior Stanislas,24.0,67.0,25.0,66.0,26.0,70.0,27.0,73.0,28.0,75.0,29.0,75.0,J. Stanislas,Midfielder,Bournemouth,30.0,73.0,74.0,73.9,31.0,32.0,33.0,73.73,73.62,73.55
Ike Opara,25.0,67.0,26.0,72.0,27.0,72.0,28.0,74.0,29.0,75.0,30.0,74.0,I. Opara,Defender,Minnesota United FC,31.0,75.0,74.5,74.35,32.0,33.0,34.0,74.14,73.99,73.88
Timo Perthel,25.0,67.0,26.0,70.0,27.0,71.0,28.0,70.0,29.0,68.0,30.0,68.0,T. Perthel,Defender,1. FC Magdeburg,31.0,66.0,67.0,66.93,32.0,33.0,34.0,66.71,66.55,66.43
Scott Malone,23.0,67.0,24.0,70.0,25.0,71.0,26.0,71.0,27.0,71.0,28.0,71.0,S. Malone,Defender,Millwall,29.0,70.0,70.5,70.46,30.0,31.0,32.0,70.31,70.22,70.17
Josepmir Aarón Ballón Villacorta,26.0,67.0,27.0,67.0,,,,,,,31.0,66.0,J. Ballón,Midfielder,Alianza Lima,32.0,65.0,65.5,65.43,33.0,34.0,35.0,65.19,65.02,64.89
Justin Morrow,26.0,67.0,27.0,69.0,28.0,70.0,29.0,71.0,30.0,71.0,31.0,69.0,J. Morrow,Defender,Toronto FC,32.0,70.0,69.5,69.38,33.0,34.0,35.0,69.13,68.94,68.79
Stelios Kitsiou,20.0,67.0,21.0,71.0,22.0,72.0,23.0,71.0,24.0,70.0,25.0,70.0,S. Kitsiou,Defender,MKE Ankaragücü,26.0,72.0,71.0,71.07,27.0,28.0,29.0,71.04,71.07,71.14
Craig Forsyth,25.0,67.0,26.0,68.0,27.0,69.0,28.0,69.0,29.0,69.0,30.0,70.0,C. Forsyth,Defender,Derby County,31.0,70.0,70.0,69.9,32.0,33.0,34.0,69.68,69.52,69.4
Arsénio Martins Lafuente Nunes,24.0,67.0,,,,,27.0,70.0,28.0,69.0,29.0,73.0,Arsénio,Midfielder,Al Fayha,30.0,72.0,72.5,72.41,31.0,32.0,33.0,72.23,72.11,72.03
Wilson David Morelo López,27.0,67.0,28.0,72.0,29.0,71.0,30.0,72.0,31.0,73.0,32.0,74.0,W. Morelo,Forward,Club Atlético Colón,33.0,73.0,73.5,73.29,34.0,35.0,36.0,73.01,72.79,72.61
Nicolás Berardo,23.0,67.0,24.0,68.0,25.0,69.0,,,,,28.0,69.0,N. Berardo,Defender,Coquimbo Unido,29.0,70.0,69.5,69.47,30.0,31.0,32.0,69.31,69.21,69.15
Javier Güemez López,22.0,67.0,23.0,69.0,24.0,69.0,25.0,69.0,26.0,69.0,27.0,72.0,J. Güemez,Midfielder,Deportivo Toluca,28.0,72.0,72.0,71.99,29.0,30.0,31.0,71.88,71.83,71.82
Filipe Joaquim Melo Silva,24.0,67.0,25.0,69.0,26.0,70.0,27.0,70.0,28.0,69.0,29.0,66.0,Filipe Melo,Midfielder,Farense,30.0,66.0,66.0,65.97,31.0,32.0,33.0,65.77,65.63,65.53
Adrián Alexei Aldrete Rodríguez,26.0,67.0,27.0,70.0,28.0,70.0,29.0,69.0,30.0,69.0,31.0,70.0,A. Aldrete,Defender,Cruz Azul,32.0,73.0,71.5,71.35,33.0,34.0,35.0,71.1,70.91,70.76
José Ángel Crespo Rincón,27.0,67.0,28.0,70.0,29.0,73.0,30.0,73.0,31.0,72.0,32.0,74.0,José Crespo,Defender,PAOK,33.0,73.0,73.5,73.29,34.0,35.0,36.0,73.01,72.79,72.61
Pablo Edson Barrera Acosta,27.0,67.0,28.0,69.0,29.0,69.0,30.0,71.0,31.0,71.0,32.0,70.0,P. Barrera,Midfielder,Atlético de San Luis,33.0,70.0,70.0,69.84,34.0,35.0,36.0,69.57,69.36,69.19
François Bellugou,27.0,67.0,28.0,70.0,29.0,72.0,30.0,71.0,31.0,72.0,32.0,67.0,F. Bellugou,Midfielder,AJ Auxerre,33.0,69.0,68.0,67.87,34.0,35.0,36.0,67.61,67.41,67.25
Michiel Kramer,25.0,67.0,26.0,74.0,27.0,73.0,28.0,72.0,,,30.0,69.0,M. Kramer,Forward,ADO Den Haag,31.0,66.0,67.5,67.43,32.0,33.0,34.0,67.21,67.05,66.93
Juan Carlos Martín Corral,26.0,67.0,27.0,70.0,28.0,70.0,29.0,69.0,30.0,71.0,31.0,73.0,Juan Carlos,Goalkeeper,Girona FC,32.0,72.0,72.5,72.34,33.0,34.0,35.0,72.09,71.9,71.75
José Edgar Andrade da Costa,27.0,67.0,28.0,68.0,29.0,71.0,30.0,72.0,31.0,72.0,32.0,71.0,Edgar Costa,Midfielder,Clube Sport Marítimo,33.0,69.0,70.0,69.84,34.0,35.0,36.0,69.57,69.36,69.19
Tim Kister,27.0,67.0,28.0,68.0,29.0,70.0,30.0,71.0,31.0,70.0,32.0,70.0,T. Kister,Defender,SV Sandhausen,33.0,66.0,68.0,67.87,34.0,35.0,36.0,67.61,67.41,67.25
Patrick Ziegler,24.0,67.0,25.0,69.0,26.0,71.0,27.0,69.0,28.0,69.0,29.0,68.0,P. Ziegler,Defender,Western Sydney Wanderers,30.0,64.0,66.0,65.97,31.0,32.0,33.0,65.77,65.63,65.53
Laurent Depoitre,25.0,67.0,26.0,74.0,27.0,77.0,28.0,74.0,29.0,75.0,30.0,73.0,L. Depoitre,Forward,KAA Gent,31.0,75.0,74.0,73.86,32.0,33.0,34.0,73.65,73.5,73.39
Hakan Arslan,25.0,67.0,26.0,66.0,,,28.0,65.0,29.0,58.0,30.0,70.0,H. Arslan,Midfielder,Sivasspor,31.0,70.0,70.0,69.9,32.0,33.0,34.0,69.68,69.52,69.4
Julien Faussurier,27.0,67.0,28.0,68.0,29.0,69.0,30.0,68.0,31.0,70.0,32.0,71.0,J. Faussurier,Defender,Stade Brestois 29,33.0,74.0,72.5,72.31,34.0,35.0,36.0,72.03,71.81,71.63
Michał Pazdan,26.0,67.0,27.0,68.0,28.0,75.0,29.0,76.0,30.0,74.0,31.0,72.0,M. Pazdan,Defender,MKE Ankaragücü,32.0,71.0,71.5,71.35,33.0,34.0,35.0,71.1,70.91,70.76
Elías Hernán Hernández Jacuinde,26.0,67.0,27.0,70.0,28.0,74.0,29.0,77.0,30.0,78.0,31.0,76.0,E. Hernández,Midfielder,Cruz Azul,32.0,77.0,76.5,76.29,33.0,34.0,35.0,76.04,75.85,75.7
Tim Breukers,26.0,67.0,27.0,69.0,28.0,68.0,29.0,68.0,30.0,67.0,31.0,66.0,T. Breukers,Defender,Heracles Almelo,32.0,67.0,66.5,66.42,33.0,34.0,35.0,66.18,66.0,65.86
윤빛가람 尹光河,24.0,67.0,25.0,70.0,,,27.0,70.0,28.0,65.0,29.0,68.0,Yoon Bit Garam,Midfielder,Ulsan Hyundai FC,30.0,71.0,69.5,69.44,31.0,32.0,33.0,69.25,69.12,69.03
Álvaro Rey Vázquez,24.0,67.0,25.0,65.0,26.0,68.0,27.0,65.0,,,29.0,65.0,Alvaro Rey,Midfielder,Club Bolívar,30.0,70.0,67.5,67.45,31.0,32.0,33.0,67.26,67.13,67.04
Luciano Román Aued,27.0,67.0,28.0,72.0,29.0,74.0,,,31.0,72.0,32.0,75.0,L. Aued,Midfielder,Universidad Católica,33.0,75.0,75.0,74.77,34.0,35.0,36.0,74.48,74.25,74.06
Juan Carlos Paredes Reasco,26.0,67.0,27.0,71.0,28.0,71.0,,,,,31.0,72.0,J. Paredes,Defender,El Nacional,32.0,72.0,72.0,71.85,33.0,34.0,35.0,71.6,71.41,71.26
Jonathan Cristian Schunke,27.0,67.0,28.0,68.0,29.0,74.0,30.0,74.0,31.0,72.0,32.0,72.0,J. Schunke,Defender,Club Atlético Aldosivi,33.0,70.0,71.0,70.83,34.0,35.0,36.0,70.55,70.33,70.15
Christian Grindheim,30.0,67.0,31.0,69.0,32.0,69.0,33.0,68.0,34.0,67.0,35.0,67.0,C. Grindheim,Midfielder,FK Haugesund,36.0,66.0,66.5,66.35,37.0,38.0,39.0,66.05,65.81,65.62
Jesper Hansen,29.0,67.0,30.0,71.0,31.0,70.0,32.0,73.0,33.0,74.0,34.0,75.0,J. Hansen,Goalkeeper,FC Midtjylland,35.0,75.0,75.0,74.7,36.0,37.0,38.0,74.34,74.05,73.8
Jürgen Fatmir Gjasula,28.0,67.0,29.0,68.0,30.0,70.0,31.0,71.0,,,33.0,67.0,J. Gjasula,Midfielder,1. FC Magdeburg,34.0,66.0,66.5,66.38,35.0,36.0,37.0,66.11,65.9,65.73
Alex John-Baptiste,28.0,67.0,29.0,68.0,30.0,68.0,31.0,69.0,32.0,69.0,33.0,66.0,A. Baptiste,Defender,Bolton Wanderers,34.0,63.0,64.5,64.42,35.0,36.0,37.0,64.17,63.98,63.83
Zlatko Dedič,29.0,67.0,30.0,68.0,,,,,33.0,67.0,34.0,68.0,Z. Dedič,Forward,WSG Tirol,35.0,68.0,68.0,67.83,36.0,37.0,38.0,67.53,67.29,67.09
Aitor Sanz Martín,29.0,67.0,30.0,69.0,31.0,73.0,32.0,74.0,33.0,73.0,34.0,72.0,Aitor Sanz,Midfielder,CD Tenerife,35.0,71.0,71.5,71.27,36.0,37.0,38.0,70.94,70.67,70.44
Juan de Dios Prados López,28.0,67.0,28.0,68.0,29.0,67.0,30.0,67.0,31.0,67.0,32.0,67.0,Juande,Midfielder,Perth Glory,33.0,65.0,66.0,65.91,34.0,35.0,36.0,65.66,65.47,65.32
Jean-Louis Leca,28.0,67.0,29.0,70.0,30.0,77.0,31.0,77.0,32.0,75.0,33.0,73.0,J. Leca,Goalkeeper,Racing Club de Lens,34.0,73.0,73.0,72.77,35.0,36.0,37.0,72.46,72.21,72.0
Darren Pratley,29.0,67.0,30.0,68.0,31.0,67.0,32.0,67.0,33.0,67.0,34.0,66.0,D. Pratley,Defender,Charlton Athletic,35.0,65.0,65.5,65.39,36.0,37.0,38.0,65.11,64.9,64.73
Luke Chambers,28.0,67.0,29.0,68.0,30.0,69.0,31.0,71.0,32.0,71.0,33.0,68.0,L. Chambers,Defender,Ipswich Town,34.0,66.0,67.0,66.87,35.0,36.0,37.0,66.59,66.37,66.2
Michael Jakobsen,28.0,67.0,29.0,67.0,30.0,67.0,31.0,69.0,32.0,68.0,33.0,67.0,M. Jakobsen,Defender,Adelaide United,34.0,65.0,66.0,65.89,35.0,36.0,37.0,65.62,65.41,65.24
Grant Leadbitter,28.0,67.0,29.0,69.0,30.0,71.0,31.0,70.0,32.0,70.0,33.0,70.0,G. Leadbitter,Midfielder,Sunderland,34.0,66.0,68.0,67.85,35.0,36.0,37.0,67.57,67.35,67.17
Carlos Pita González,29.0,67.0,30.0,66.0,31.0,70.0,32.0,71.0,33.0,70.0,34.0,70.0,Pita,Midfielder,CD Lugo,35.0,70.0,70.0,69.79,36.0,37.0,38.0,69.47,69.21,68.99
Dominik Stroh-Engel,28.0,67.0,29.0,70.0,30.0,70.0,31.0,69.0,32.0,65.0,33.0,64.0,D. Stroh-Engel,Forward,SpVgg Unterhaching,34.0,64.0,64.0,63.93,35.0,36.0,37.0,63.68,63.49,63.34
Yannick Cahuzac,29.0,67.0,30.0,70.0,31.0,73.0,32.0,74.0,33.0,72.0,34.0,72.0,Y. Cahuzac,Midfielder,Racing Club de Lens,35.0,71.0,71.5,71.27,36.0,37.0,38.0,70.94,70.67,70.44
Roberto Santamaría Ciprián,29.0,67.0,30.0,66.0,31.0,67.0,32.0,67.0,33.0,67.0,34.0,69.0,Santamaría,Goalkeeper,UD Logroñés,35.0,69.0,69.0,68.81,36.0,37.0,38.0,68.5,68.25,68.04
Tomasz Jodłowiec,28.0,67.0,29.0,70.0,30.0,72.0,31.0,71.0,32.0,69.0,33.0,69.0,T. Jodłowiec,Midfielder,Piast Gliwice,34.0,66.0,67.5,67.36,35.0,36.0,37.0,67.08,66.86,66.68
정성룡 郑俊玄,29.0,67.0,30.0,70.0,31.0,70.0,32.0,70.0,33.0,71.0,34.0,71.0,Jung Sung Ryong,Goalkeeper,Kawasaki Frontale,35.0,69.0,70.0,69.79,36.0,37.0,38.0,69.47,69.21,68.99
Leonardo Fabián Burián Castro,30.0,67.0,,,,,33.0,68.0,34.0,72.0,35.0,73.0,L. Burián,Goalkeeper,Club Atlético Colón,36.0,72.0,72.5,72.22,37.0,38.0,39.0,71.85,71.55,71.29
David González Giraldo,31.0,67.0,32.0,68.0,33.0,72.0,34.0,70.0,35.0,69.0,36.0,71.0,D. González,Goalkeeper,Deportivo Cali,37.0,71.0,71.0,70.73,38.0,39.0,40.0,70.36,70.05,69.79
Ángel Martínez Cervera,28.0,67.0,29.0,68.0,30.0,65.0,,,,,33.0,65.0,Ángel Martínez,Midfielder,CE Sabadell FC,34.0,65.0,65.0,64.91,35.0,36.0,37.0,64.65,64.45,64.29
Robert O'Shea Salinas,28.0,67.0,29.0,69.0,30.0,69.0,31.0,68.0,32.0,66.0,33.0,67.0,S. Salinas,Midfielder,San Jose Earthquakes,34.0,66.0,66.5,66.38,35.0,36.0,37.0,66.11,65.9,65.73
Álvaro Fernández Gay,28.0,67.0,29.0,69.0,30.0,69.0,31.0,65.0,32.0,65.0,33.0,63.0,A. Fernández,Midfielder,Club Plaza Colonia,34.0,63.0,63.0,62.96,35.0,36.0,37.0,62.72,62.54,62.41
Iván Alexis Pillud,28.0,67.0,29.0,70.0,30.0,72.0,31.0,71.0,32.0,69.0,33.0,70.0,I. Pillud,Defender,Racing Club,34.0,75.0,72.5,72.28,35.0,36.0,37.0,71.97,71.72,71.51
Haris Radetinac,28.0,67.0,29.0,70.0,30.0,69.0,31.0,69.0,32.0,67.0,33.0,63.0,H. Radetinac,Forward,Djurgårdens IF,34.0,64.0,63.5,63.44,35.0,36.0,37.0,63.2,63.02,62.88
Jehad Fadel Al Hussain,31.0,67.0,32.0,73.0,33.0,72.0,34.0,72.0,35.0,72.0,36.0,69.0,J. Al Hussien,Midfielder,Al Raed,37.0,69.0,69.0,68.78,38.0,39.0,40.0,68.43,68.15,67.91
Bram van Polen,28.0,67.0,29.0,71.0,30.0,72.0,31.0,70.0,32.0,69.0,33.0,69.0,B. van Polen,Defender,PEC Zwolle,34.0,67.0,68.0,67.85,35.0,36.0,37.0,67.57,67.35,67.17
Marc Schnatterer,28.0,67.0,29.0,72.0,30.0,73.0,31.0,75.0,32.0,75.0,33.0,75.0,M. Schnatterer,Midfielder,1. FC Heidenheim 1846,34.0,71.0,73.0,72.77,35.0,36.0,37.0,72.46,72.21,72.0
Martín Sebastián Galmarini,32.0,67.0,33.0,66.0,34.0,65.0,35.0,65.0,36.0,65.0,37.0,64.0,M. Galmarini,Defender,Club Atlético Tigre,38.0,64.0,64.0,63.91,39.0,40.0,41.0,63.65,63.45,63.29
Bilal Ould-Chikh,16.0,66.0,,,,,19.0,66.0,,,21.0,66.0,B. Ould-Chikh,Forward,ADO Den Haag,22.0,64.0,65.0,65.19,23.0,24.0,25.0,65.21,65.29,65.41
Ozan Tufan,19.0,66.0,20.0,76.0,21.0,75.0,22.0,76.0,23.0,74.0,24.0,73.0,O. Tufan,Midfielder,Fenerbahçe SK,25.0,72.0,72.5,72.62,26.0,27.0,28.0,72.65,72.74,72.87
Ryan Gauld,18.0,66.0,19.0,73.0,20.0,73.0,21.0,73.0,,,23.0,70.0,R. Gauld,Forward,Farense,24.0,70.0,70.0,70.15,25.0,26.0,27.0,70.19,70.29,70.43
Jack Grealish,18.0,66.0,19.0,72.0,20.0,72.0,21.0,73.0,22.0,76.0,23.0,77.0,J. Grealish,Forward,Aston Villa,24.0,80.0,78.5,78.66,25.0,26.0,27.0,78.8,79.0,79.24
Veton Berisha,20.0,66.0,21.0,67.0,22.0,69.0,23.0,68.0,24.0,67.0,25.0,68.0,V. Berisha,Forward,Viking FK,26.0,69.0,68.5,68.57,27.0,28.0,29.0,68.51,68.51,68.55
Arlind Afrim Ajeti,20.0,66.0,,,22.0,68.0,23.0,68.0,,,25.0,62.0,A. Ajeti,Defender,Vejle Boldklub,26.0,62.0,62.0,62.07,27.0,28.0,29.0,61.93,61.85,61.81
Federico Vico Villegas,19.0,66.0,,,,,22.0,70.0,23.0,70.0,24.0,75.0,Fede Vico,Midfielder,Granada CF,25.0,74.0,74.5,74.62,26.0,27.0,28.0,74.67,74.78,74.93
Simon Gustafson,19.0,66.0,20.0,71.0,21.0,72.0,22.0,70.0,23.0,73.0,24.0,72.0,S. Gustafson,Midfielder,FC Utrecht,25.0,72.0,72.0,72.12,26.0,27.0,28.0,72.14,72.22,72.34
Ante Rebić,20.0,66.0,21.0,67.0,22.0,70.0,23.0,72.0,24.0,79.0,25.0,80.0,A. Rebić,Midfielder,Milan,26.0,79.0,79.5,79.55,27.0,28.0,29.0,79.59,79.69,79.83
Benito Raman,19.0,66.0,20.0,70.0,21.0,71.0,22.0,71.0,23.0,73.0,24.0,76.0,B. Raman,Forward,FC Schalke 04,25.0,74.0,75.0,75.12,26.0,27.0,28.0,75.18,75.3,75.46
Erick Antonio Pulgar Farfán,20.0,66.0,21.0,70.0,22.0,72.0,23.0,73.0,24.0,77.0,25.0,78.0,E. Pulgar,Midfielder,Fiorentina,26.0,76.0,77.0,77.06,27.0,28.0,29.0,77.08,77.16,77.28
Iván Patricio Ledezma Ahumada,18.0,66.0,,,,,,,22.0,68.0,23.0,68.0,I. Ledezma,Midfielder,Audax Italiano,24.0,68.0,68.0,68.14,25.0,26.0,27.0,68.14,68.2,68.31
Harry Maguire,21.0,66.0,22.0,69.0,23.0,72.0,24.0,77.0,25.0,82.0,26.0,82.0,H. Maguire,Defender,Manchester United,27.0,82.0,82.0,81.97,28.0,29.0,30.0,81.96,82.01,82.1
Gastón Brugman,21.0,66.0,22.0,68.0,23.0,68.0,24.0,69.0,25.0,71.0,26.0,73.0,G. Brugman,Midfielder,Parma,27.0,72.0,72.5,72.53,28.0,29.0,30.0,72.47,72.47,72.51
Michaël Heylen,20.0,66.0,21.0,68.0,22.0,70.0,23.0,70.0,24.0,68.0,25.0,66.0,M. Heylen,Defender,Sparta Rotterdam,26.0,66.0,66.0,66.07,27.0,28.0,29.0,65.98,65.95,65.96
Ondrej Duda,19.0,66.0,20.0,71.0,21.0,73.0,22.0,73.0,23.0,73.0,24.0,77.0,O. Duda,Midfielder,1. FC Köln,25.0,75.0,76.0,76.11,26.0,27.0,28.0,76.18,76.31,76.48
Ignasi Miquel i Pons,21.0,66.0,22.0,69.0,23.0,69.0,24.0,69.0,25.0,73.0,26.0,73.0,Ignasi Miquel,Defender,CD Leganés,27.0,70.0,71.5,71.53,28.0,29.0,30.0,71.46,71.45,71.48
